cseducators,4,2263,2698
augur,1,357,388
magento,77,137749,39996
poker,69,4623,3939
music,81,41851,26906
diy,87,88614,46232
vi,32,11531,12783
writers,85,22546,18229
networkengineering,53,24105,28622
literature,8,3136,1997
sustainability,56,3699,4382
gamedev,94,101980,80128
electronics,99,243430,106558
japanese,76,36227,14390
economics,34,11640,9499
politics,58,14727,13529
lifehacks,34,9023,14897
cstheory,86,22344,30460
chinese,70,17332,10441
hermeneutics,72,14635,9525
chess,65,13181,10844
bicycles,87,37106,23108
genealogy,64,6686,3776
history,77,22677,16921
tex,110,326152,111261
workplace,67,68328,52074
photo,87,68635,42270
quant,85,22470,18248
mythology,29,2506,2935
philosophy,78,29392,20098
raspberrypi,64,46011,57077
travel,76,72181,44203
italian,47,5046,3460
movies,72,46966,36143
salesforce,62,146483,31233
biology,77,38039,24059
monero,14,4595,2131
sqa,77,21291,20990
stats,105,215962,131378
woodworking,30,5993,3830
ethereum,20,19283,14882
patents,61,8059,10696
scifi,81,129161,62258
ham,47,5390,6553
es_stackoverflow,23,76278,49033
anime,58,22104,17569
hardwarerecs,24,3870,5632
vegetarianism,7,1063,923
ja_stackoverflow,36,28589,13457
martialarts,68,6066,5054
engineering,32,11109,11706
gardening,87,22327,10011
tridion,55,14065,1968
ru_stackoverflow,84,366485,86826
datascience,41,14238,28482
drupal,104,167767,46182
codereview,110,124864,124178
pm,85,16895,19207
tor,48,8942,11065
law,28,16016,9690
emacs,36,25108,11456
pt_stackoverflow,46,180877,61280
astronomy,48,12839,12300
latin,19,3966,1893
cogsci,76,10753,12284
english,100,299120,169037
joomla,41,12299,5654
iot,9,1732,3812
languagelearning,17,1792,2720
portuguese,26,3463,2166
softwarerecs,80,27307,26212
sound,92,31302,10704
windowsphone,65,8112,11095
computergraphics,26,3077,5035
stackapps,100,4830,31235
android,102,102371,139721
math,91,1985869,356699
academia,72,68300,58628
chemistry,68,50717,30297
craftcms,40,17395,4662
ell,56,112246,44974
rpg,86,81477,25855
beer,44,2605,4758
softwareengineering,111,189478,230516
hinduism,39,13108,7132
freelancing,52,5085,13075
interpersonal,3,2351,3292
sports,68,10197,7232
matheducators,43,8146,6077
spanish,71,15235,10034
3dprinting,20,3126,6933
arduino,44,29842,26943
bricks,72,6098,5952
aviation,45,29808,18083
mathematica,82,113920,34018
sitecore,12,6564,2233
dsp,95,29541,22118
coffee,32,2499,4451
homebrew,95,16788,7733
crypto,80,32250,35823
reverseengineering,55,10220,14319
opendata,56,8962,12920
parenting,84,22546,18804
bioinformatics,4,1300,1379
crafts,17,2161,2440
esperanto,13,3334,1017
security,89,121725,119095
webmasters,111,73222,59327
outdoors,86,13581,9038
arabic,3,348,493
retrocomputing,17,3409,3702
ux,109,91072,78182
health,30,7699,7564
musicfans,31,3826,4329
ukrainian,7,1536,1098
devops,6,1757,3082
elementaryos,27,10077,8791
rus,70,36988,7962
money,97,56712,39605
korean,15,1871,1072
mathoverflow,97,210369,70455
earthscience,42,7205,6139
apple,110,213154,170620
skeptics,80,18863,27764
judaism,95,61045,8184
puzzling,41,38505,28780
mechanics,83,37124,20890
moderators,38,1600,2709
scicomp,70,15912,17065
startups,38,8122,12071
askubuntu,106,629198,474257
bitcoin,73,36922,34918
civicrm,30,15990,3541
avp,83,12011,12902
buddhism,39,16999,6221
space,51,17218,13336
wordpress,96,183213,92172
linguistics,94,14411,10310
gis,99,194989,72872
unix,110,311308,213349
expatriates,43,7533,6548
codegolf,106,110110,55273
cooking,87,62244,37765
superuser,111,892859,547175
opensource,27,4394,7677
productivity,105,11430,16505
expressionengine,59,27317,5207
sharepoint,109,173578,43733
webapps,99,57372,95620
cs,107,48003,59394
hsm,35,3974,4968
ai,13,2439,8144
physics,86,258445,109575
serverfault,111,667397,327555
robotics,59,9194,12062
boardgames,87,26179,15495
fitness,80,21898,16882
russian,64,9606,7413
french,74,20107,12147
ebooks,45,2844,6441
blender,52,64956,30552
dba,109,138440,105917
worldbuilding,36,75909,33284
graphicdesign,86,63105,68568
gaming,99,216662,107183
islam,64,20442,12571
christianity,74,32756,17443
pets,48,11130,6792
german,77,30668,17799
